
> frontend@0.1.0 dev
> next dev

[baseline-browser-mapping] The data in this module is over two months old.  To ensure accurate Baseline data, please update: `npm i baseline-browser-mapping@latest -D`
   ▲ Next.js 16.0.5 (Turbopack)
   - Local:         http://localhost:3000
   - Network:       http://192.168.0.189:3000

 ✓ Starting...
 ✓ Ready in 557ms
 GET /admin-panel/camps 200 in 942ms (compile: 863ms, render: 79ms)
 GET /admin-panel 200 in 241ms (compile: 233ms, render: 9ms)
 GET /admin-panel/camps 200 in 20ms (compile: 4ms, render: 15ms)
 GET /admin-panel 200 in 19ms (compile: 5ms, render: 14ms)
 GET /admin-panel/camps 200 in 20ms (compile: 6ms, render: 14ms)
 GET /admin-panel/payments 200 in 247ms (compile: 235ms, render: 12ms)
 GET /admin-panel 200 in 13ms (compile: 5ms, render: 8ms)
 GET /admin-panel/camps 200 in 16ms (compile: 3ms, render: 13ms)
 GET /admin-panel 200 in 24ms (compile: 6ms, render: 18ms)
 GET /admin-panel/camps 200 in 19ms (compile: 4ms, render: 15ms)
 GET /admin-panel/camps 200 in 33ms (compile: 2ms, render: 31ms)
 GET / 307 in 167ms (compile: 142ms, render: 25ms)
 GET /camps/1/edition/1/step/1 200 in 8.3s (compile: 355ms, render: 8.0s)
 GET / 307 in 18ms (compile: 1198µs, render: 17ms)
 GET /admin-panel/camps 200 in 25ms (compile: 1361µs, render: 23ms)
 GET /admin-panel/camps 200 in 19ms (compile: 1147µs, render: 18ms)
 GET /admin-panel 200 in 12ms (compile: 3ms, render: 10ms)
 GET /admin-panel/payments 200 in 7ms (compile: 1238µs, render: 6ms)
 GET /admin-panel 200 in 19ms (compile: 5ms, render: 15ms)
 GET /admin-panel/camps 200 in 12ms (compile: 1794µs, render: 11ms)
 GET /camps/1/edition/1/step/1 200 in 51ms (compile: 2ms, render: 49ms)
 GET /admin-panel/camps 200 in 20ms (compile: 968µs, render: 19ms)
 GET /admin-panel/camps 200 in 34ms (compile: 3ms, render: 31ms)
 GET /camps/1/edition/1/step/1 200 in 26ms (compile: 12ms, render: 14ms)
 GET /admin-panel/camps 200 in 14ms (compile: 1918µs, render: 12ms)
 GET /camps/1/edition/1/step/1 200 in 24ms (compile: 1582µs, render: 22ms)
 GET /admin-panel/camps 200 in 11ms (compile: 1124µs, render: 10ms)
 GET /admin-panel/camps 200 in 24ms (compile: 879µs, render: 23ms)
 GET /camps/1/edition/1/step/1 200 in 22ms (compile: 1038µs, render: 21ms)
 GET /admin-panel/camps 200 in 10ms (compile: 1468µs, render: 8ms)
 GET /admin-panel/camps 200 in 29ms (compile: 1067µs, render: 28ms)
 GET /admin-panel/camps 200 in 9ms (compile: 1865µs, render: 7ms)
 GET /camps/1/edition/1/step/1 200 in 28ms (compile: 1338µs, render: 26ms)
 GET /admin-panel/camps 200 in 20ms (compile: 979µs, render: 19ms)
 GET /admin-panel/camps 200 in 8ms (compile: 1352µs, render: 7ms)
 GET /camps/1/edition/1/step/1 200 in 20ms (compile: 1005µs, render: 19ms)
 GET /admin-panel/camps 200 in 22ms (compile: 828µs, render: 21ms)
 GET /admin-panel/camps 200 in 9ms (compile: 1431µs, render: 8ms)
 GET /camps/1/edition/1/step/1 200 in 21ms (compile: 1073µs, render: 20ms)
 GET /admin-panel/camps 200 in 23ms (compile: 881µs, render: 22ms)
 GET /admin-panel/camps 200 in 9ms (compile: 1565µs, render: 7ms)
 GET /camps/1/edition/1/step/1 200 in 24ms (compile: 2ms, render: 21ms)
 GET /admin-panel/camps 200 in 20ms (compile: 894µs, render: 20ms)
 GET /admin-panel/camps 200 in 10ms (compile: 1399µs, render: 8ms)
 GET /camps/1/edition/1/step/1 200 in 22ms (compile: 1051µs, render: 21ms)
 GET /admin-panel/camps 200 in 23ms (compile: 954µs, render: 22ms)
 GET /camps/1/edition/1/step/1 200 in 23ms (compile: 1156µs, render: 22ms)
 GET /admin-panel/camps 200 in 11ms (compile: 1989µs, render: 9ms)
 GET /admin-panel/camps 200 in 25ms (compile: 1141µs, render: 24ms)
 GET /camps/1/edition/1/step/1 200 in 21ms (compile: 1672µs, render: 19ms)
 GET /admin-panel/camps 200 in 9ms (compile: 1319µs, render: 8ms)
 GET /admin-panel/camps 200 in 26ms (compile: 1031µs, render: 25ms)
 GET /admin-panel/camps 200 in 10ms (compile: 1584µs, render: 8ms)
 GET /camps/1/edition/1/step/1 200 in 28ms (compile: 1088µs, render: 27ms)
 GET /admin-panel/camps 200 in 19ms (compile: 1379µs, render: 18ms)
 GET /camps/1/edition/1/step/1 200 in 22ms (compile: 1057µs, render: 21ms)
 GET /admin-panel/camps 200 in 34ms (compile: 1072µs, render: 33ms)
 GET /admin-panel/camps 200 in 10ms (compile: 1186µs, render: 9ms)
 GET /camps/1/edition/1/step/1 200 in 24ms (compile: 3ms, render: 21ms)
